name,seed,parameters,val_loss,perplexity,seconds
bottleneck4,1337,6564,2.291254663467407,9.887335180443058,0.8092238969998107
bottleneck4,2026,6564,2.3529992938041686,10.517066239075033,0.7230878020000091
bottleneck4,4242,6564,2.290029227733612,9.875226307439089,0.6943433609999374
mps_r2,1337,6544,2.3542656660079957,10.530393196088934,0.7436534079997728
mps_r2,2026,6544,2.4595107793807984,11.699086705299392,0.7947991500000171
mps_r2,4242,6544,2.36843478679657,10.680661681361533,0.936034071999984
mps_r4,1337,7008,2.3706687331199645,10.704548377120206,0.8591876420000517
mps_r4,2026,7008,2.445637619495392,11.537904046476083,0.7802013119999174
mps_r4,4242,7008,2.3427016735076904,10.409321195201635,0.7043510030002835
mps_r8,1337,8704,2.345269238948822,10.43608214911674,0.7271218459995907
mps_r8,2026,8704,2.454396975040436,11.639412575883327,0.7128399879998142
mps_r8,4242,8704,2.3690335154533386,10.687058414346001,0.6953856039999664
quantum_base,1337,6580,2.358093023300171,10.570773999865633,3.0817251309999847
quantum_base,2026,6580,2.3804214358329774,10.80945739682423,2.7643918229996416
quantum_base,4242,6580,2.3679800987243653,10.675806415791087,2.7220025890001125
quantum_reupload_alt,1337,6588,2.337745022773743,10.357853484765071,3.5593256149995796
quantum_reupload_alt,2026,6588,2.395272374153137,10.971185919627723,3.2642380009997396
quantum_reupload_alt,4242,6588,2.346206343173981,10.445866429522015,3.5078989349999574
quantum_reupload_ring,1337,6588,2.3548919677734377,10.536990465663582,3.5508798379996733
quantum_reupload_ring,2026,6588,2.400827443599701,11.032301212007175,3.2762101230000553
quantum_reupload_ring,4242,6588,2.3763108015060426,10.765114870587668,3.493361152000034
