arch,kind,freeze,seed,parameters,val_loss,perplexity,seconds,circuit_grad_norm_mean,circuit_grad_norm_std
bottleneck,baseline,0.0,1337,6564,1.967982908089956,7.156227152530732,0.9020054920000008,0.0,0.0
bottleneck,baseline,0.0,2026,6564,2.0749780257542927,7.96437144605683,0.9296626980000156,0.0,0.0
bottleneck,baseline,0.0,4242,6564,1.946592926979065,7.0047810774876025,0.908314388000008,0.0,0.0
bottleneck,direct,0.2,1337,6564,2.080763061841329,8.010579150032342,0.905920435999974,0.0,0.0
bottleneck,direct,0.2,2026,6564,2.085199252764384,8.046194548491199,0.9055937910000011,0.0,0.0
bottleneck,direct,0.2,4242,6564,2.007620032628377,7.445576015817828,0.903565656000012,0.0,0.0
bottleneck,direct,0.4,1337,6564,2.0830337444941205,8.028789300058724,1.122528729999999,0.0,0.0
bottleneck,direct,0.4,2026,6564,2.085055780410767,8.045040224830412,1.0433509359999675,0.0,0.0
bottleneck,direct,0.4,4242,6564,2.0174455046653748,7.519092892326064,1.002746704000003,0.0,0.0
bottleneck,gradual,0.2,1337,6564,2.080135937531789,8.005557096004535,0.9075395630000004,0.0,0.0
bottleneck,gradual,0.2,2026,6564,2.0836050550142926,8.03337754238085,0.8720396549999805,0.0,0.0
bottleneck,gradual,0.2,4242,6564,2.009525275230408,7.45977516655809,0.8850077879999958,0.0,0.0
bottleneck,gradual,0.4,1337,6564,2.084081546465556,8.037206290214927,1.1198778510000125,0.0,0.0
bottleneck,gradual,0.4,2026,6564,2.085646716753642,8.04979573644309,1.0010723990000088,0.0,0.0
bottleneck,gradual,0.4,4242,6564,2.0178324580192566,7.522002993539299,1.0381566639999846,0.0,0.0
quantum,baseline,0.0,1337,6588,1.997041968504588,7.367231333354421,5.25740049800001,0.0274244576438063,0.0405172722132183
quantum,baseline,0.0,2026,6588,2.062678364912669,7.867012347781978,5.424000678999988,0.0432136882718779,0.0785285393117161
quantum,baseline,0.0,4242,6588,2.030666486422221,7.619162735435863,5.209043049000002,0.0275640659548538,0.0391847195226195
quantum,direct,0.1,1337,6588,1.9957489331563316,7.357711398953856,5.1665742680000335,0.0172540202481884,0.0077550024767649
quantum,direct,0.1,2026,6588,2.0646149714787803,7.882262417476712,5.228006480000033,0.0196167731426386,0.0108621316601516
quantum,direct,0.1,4242,6588,2.037892985343933,7.674422031870531,5.421283646999996,0.0161461160433764,0.0069137797819147
quantum,direct,0.2,1337,6588,1.9985232790311176,7.378152577559881,6.086205666000012,0.0187605501538404,0.0083720324189278
quantum,direct,0.2,2026,6588,2.067012325922648,7.901181663318802,5.994633164999982,0.0190346586425508,0.0098426691527706
quantum,direct,0.2,4242,6588,2.03459001382192,7.649115450916553,6.117956595999999,0.0172690708288629,0.0072402524870045
quantum,direct,0.3,1337,6588,1.997703234354655,7.372104642943738,5.075509366000006,0.0191381649602611,0.0082623463789049
quantum,direct,0.3,2026,6588,2.0671987851460774,7.902655048874812,5.16180502200001,0.0194134354407436,0.00944012213888
quantum,direct,0.3,4242,6588,2.035294230779012,7.654503984849637,5.1551081599999975,0.0181024330814461,0.0069181961837853
quantum,direct,0.4,1337,6588,1.9948344826698303,7.350986211579626,5.00382347599998,0.019423571063503,0.0078874421259975
quantum,direct,0.4,2026,6588,2.064227819442749,7.879211374180175,5.064332154999988,0.0196776563678099,0.0081948329342503
quantum,direct,0.4,4242,6588,2.0352755427360534,7.654360938486976,5.0390319680000175,0.0191819358199071,0.0065223029597613
quantum,gradual,0.1,1337,6588,1.996328639984131,7.361977951044012,5.141102130000007,0.0163893088521432,0.0084733311858368
quantum,gradual,0.1,2026,6588,2.064706071217855,7.882980522235343,5.0963251460000265,0.0170806239895547,0.0089818905062338
quantum,gradual,0.1,4242,6588,2.03258976538976,7.633830611562638,5.278122908,0.0154285162950563,0.0076407887931102
quantum,gradual,0.2,1337,6588,1.996177577972412,7.360865919839447,5.384829901999979,0.0175638386253404,0.0091908657008894
quantum,gradual,0.2,2026,6588,2.064993751049042,7.885248622969007,5.389773838999986,0.0169306063403612,0.0087393273886559
quantum,gradual,0.2,4242,6588,2.035405520598094,7.655355900617171,5.268525716999989,0.0158372866112239,0.0078818015055237
quantum,gradual,0.3,1337,6588,1.993969710667928,7.344632032371607,5.593340589999968,0.0179449058729941,0.0089046958584552
quantum,gradual,0.3,2026,6588,2.0649675488471986,7.885042014799809,5.337178225999992,0.0176987726237018,0.0088730623013856
quantum,gradual,0.3,4242,6588,2.0339754978815714,7.6444163915137295,5.076417804999949,0.0164665151067212,0.0076590977860275
quantum,gradual,0.4,1337,6588,1.994466324647268,7.348280385148501,4.928851438000038,0.018331644624334,0.008888169907168
quantum,gradual,0.4,2026,6588,2.064934893449148,7.884784529818327,4.968940637999992,0.0190312030323001,0.0092634549500414
quantum,gradual,0.4,4242,6588,2.0338621775309247,7.643550172648793,5.114286994000054,0.0173609712420377,0.0073477163515103
