kind,freeze,seed,parameters,val_loss,perplexity,seconds
baseline,0.0,1337,6584,2.0324252446492515,7.632574791404569,1.1046299740000336
baseline,0.0,2026,6584,2.0990985075632733,8.158811489434187,1.107667021999987
baseline,0.0,4242,6584,1.938561447461446,6.948747638647713,1.0422614699999713
direct,0.2,1337,6584,2.0360366821289064,7.66018919189963,1.012951461
direct,0.2,2026,6584,2.1000654339790343,8.16670427504104,0.9721777720000091
direct,0.2,4242,6584,1.9349934538205464,6.923998729491702,0.9872529820000295
direct,0.4,1337,6584,2.0370105266571046,7.667652658767464,1.0293264900000167
direct,0.4,2026,6584,2.1001144925753277,8.16710493191687,1.0342422150000061
direct,0.4,4242,6584,1.9335116227467855,6.913746131205097,0.9587161349999747
gradual,0.2,1337,6584,2.0360366821289064,7.66018919189963,0.9710600730000465
gradual,0.2,2026,6584,2.1000654339790343,8.16670427504104,0.956393874000014
gradual,0.2,4242,6584,1.9349934538205464,6.923998729491702,0.9697471949999681
gradual,0.4,1337,6584,2.0370105266571046,7.667652658767464,0.929003635000015
gradual,0.4,2026,6584,2.1001144925753277,8.16710493191687,1.030740604000016
gradual,0.4,4242,6584,1.9335116227467855,6.913746131205097,0.9646219889999657
