sweep,mode,n_qubits,circuit_layers,seed,steps,batch_size,eval_batches,lr,parameters,val_loss,perplexity,seconds
depth,quantum,4,1,1337,300,4,20,0.003,6572,2.3029965281486513,10.00411519805658,1.886634015000027
depth,quantum,4,1,2026,300,4,20,0.003,6572,2.4252809286117554,11.30540498493282,1.8334415270001045
depth,quantum,4,1,4242,300,4,20,0.003,6572,2.3508842468261717,10.494845656979695,1.9923005180000928
depth,quantum,4,2,1337,300,4,20,0.003,6580,2.358093023300171,10.570773999865633,3.1125027849998332
depth,quantum,4,2,2026,300,4,20,0.003,6580,2.3804214358329774,10.80945739682423,3.0931973309998284
depth,quantum,4,2,4242,300,4,20,0.003,6580,2.3679800987243653,10.675806415791087,2.9899081349999506
depth,quantum,4,3,1337,300,4,20,0.003,6588,2.3159059166908262,10.134099411350048,4.138583342999937
depth,quantum,4,3,2026,300,4,20,0.003,6588,2.392080819606781,10.936226598292182,3.9788868159998856
depth,quantum,4,3,4242,300,4,20,0.003,6588,2.3310970187187197,10.28922281405195,4.122881990000224
depth,quantum,4,4,1337,300,4,20,0.003,6596,2.322265148162842,10.198749840919582,5.052898314000004
depth,quantum,4,4,2026,300,4,20,0.003,6596,2.35414537191391,10.529126528166904,4.810981501000015
depth,quantum,4,4,4242,300,4,20,0.003,6596,2.3485895872116087,10.470791167477191,5.057042994000085
reference,classical,4,2,1337,300,4,20,0.003,14624,1.7075756430625915,5.515573536640171,0.5949605590001283
reference,classical,4,2,2026,300,4,20,0.003,14624,1.7278957784175872,5.62879720167928,0.5803241679998337
reference,classical,4,2,4242,300,4,20,0.003,14624,1.7512921214103698,5.762043127279565,0.5995405759999812
width,bottleneck,2,2,1337,300,4,20,0.003,6434,2.255625569820404,9.541260168018804,0.5898696690001088
width,bottleneck,2,2,2026,300,4,20,0.003,6434,2.3737109184265135,10.737163181892383,0.5460840399998688
width,bottleneck,2,2,4242,300,4,20,0.003,6434,2.3410806894302367,10.392461519611645,0.5828820149999956
width,bottleneck,3,2,1337,300,4,20,0.003,6499,2.3423864364624025,10.406040308700259,0.5573203729998113
width,bottleneck,3,2,2026,300,4,20,0.003,6499,2.393667960166931,10.953597708651728,0.5713085899999442
width,bottleneck,3,2,4242,300,4,20,0.003,6499,2.3130629539489744,10.10532945962938,0.5781533520000721
width,bottleneck,4,2,1337,300,4,20,0.003,6564,2.291254663467407,9.887335180443058,0.565704807999964
width,bottleneck,4,2,2026,300,4,20,0.003,6564,2.3529992938041686,10.517066239075033,0.531976916000076
width,bottleneck,4,2,4242,300,4,20,0.003,6564,2.290029227733612,9.875226307439089,0.5689771009999731
width,bottleneck,5,2,1337,300,4,20,0.003,6629,2.242578160762787,9.417580050773394,0.5504503540000769
width,bottleneck,5,2,2026,300,4,20,0.003,6629,2.3427979350090027,10.410323260316899,0.5593706550000661
width,bottleneck,5,2,4242,300,4,20,0.003,6629,2.268337941169739,9.663326442454192,0.5958638270001302
width,quantum,2,2,1337,300,4,20,0.003,6442,2.3232322335243225,10.208617673345206,1.5353260980000414
width,quantum,2,2,2026,300,4,20,0.003,6442,2.3857598185539244,10.867316717605632,1.5604113269998834
width,quantum,2,2,4242,300,4,20,0.003,6442,2.35396808385849,10.527260005260453,1.4659876310001891
width,quantum,3,2,1337,300,4,20,0.003,6511,2.357879400253296,10.56851608009639,1.9202785240001958
width,quantum,3,2,2026,300,4,20,0.003,6511,2.4344479918479918,11.40951882732951,1.889672876000077
width,quantum,3,2,4242,300,4,20,0.003,6511,2.3838274836540223,10.8463376980176,1.961283475000073
width,quantum,4,2,1337,300,4,20,0.003,6580,2.358093023300171,10.570773999865633,2.578542748000018
width,quantum,4,2,2026,300,4,20,0.003,6580,2.3804214358329774,10.80945739682423,2.647191039000063
width,quantum,4,2,4242,300,4,20,0.003,6580,2.3679800987243653,10.675806415791087,2.6337764739998875
width,quantum,5,2,1337,300,4,20,0.003,6649,2.382110583782196,10.827731599188937,3.5299179869998625
width,quantum,5,2,2026,300,4,20,0.003,6649,2.4128628849983214,11.165882066560766,3.7319082710000657
width,quantum,5,2,4242,300,4,20,0.003,6649,2.343062901496887,10.413082012581235,3.784329107999838
